comment,likes_count,stance_llama_8b
a fig for lincoln a fig for fdr and a fig for biden the worst presidents in history war mongering at its best how stupid does this fool think we are,1,CONSERVATIVE
did he say he beat the winner,1,CONSERVATIVE
cut the bs and let us hear what you have to say for your self and how many times its trps fault all the noise is stupid people,1,CONSERVATIVE
need to cut bidens pay if youd cut the pay of all those officials in half it would cover our national debt trump never took a salary when he was in office,1,CONSERVATIVE
my god he looks halfdead i can hardly wait to hear some more lies and horsesht lets see how stupid he thinks we are,1,CONSERVATIVE
if you just kept trumps border policy the invasion of our country did not happen,1,CONSERVATIVE
so many lies,1,LIBERAL
you wont see biden for a while he is going to have a post high crash when the drugs they pumped him up with wear off,1,CONSERVATIVE
thats not the real biden thats an ai robot biden no way does he go from dopey sleepy to this,1,CONSERVATIVE
joe biden is full of crap,1,CONSERVATIVE
vote 2024 with trump before was better than now and in trump administration everything would be better for our future trump put americans first lets make america great again,1,CONSERVATIVE
lie after the lie he looks confused i wont waste my vote on this man,1,CONSERVATIVE
3433 shsia ffffaa rhaaa,1,OTHER
joe you care about ukraine you dont care about your american,1,CONSERVATIVE
no they cant,1,CONSERVATIVE
we the people want heads these are not americans,1,CONSERVATIVE
he said nothing significant,1,CONSERVATIVE
i thought i was watching rich little doing stand up,1,CONSERVATIVE
he nailed it and maga babies knew it,1,CONSERVATIVE
there are no new elements in the speech,1,CONSERVATIVE
majority of these fools are so old,1,CONSERVATIVE
how can the speaker just sit there and say nothing shame on him,1,CONSERVATIVE
go marjorie,1,CONSERVATIVE
got to start buying vote now,1,CONSERVATIVE
in case some of yall cant see it the dislikes are currently 12k,1,CONSERVATIVE
im a democrat and id rather vote for trump than biden,1,CONSERVATIVE
how about the city that got shut down by train wreck there is still in dire straits,1,CONSERVATIVE
where is meely mouth mitch,1,CONSERVATIVE
ive heard so many lies its hard to watch he makes my skin crawl creepy joekeep him away from smelling little girls hair,1,CONSERVATIVE
whisper to us joe,1,CONSERVATIVE
they raised the debt lying again,1,CONSERVATIVE
no way could i even begin to stomach listening to this bulhit president socalled wanna be leader i might vomit all over the floor it doesnt matter whatever he says is stupidity and ignorance,1,CONSERVATIVE
this creep has never held a job besides politics he has no clue to what the working american has to do every day to keep above water to survive he wants 4more yearsgod help us we would be finished for sure cant wait for nov,1,CONSERVATIVE
and now people on social security have to taxes on their social security,1,CONSERVATIVE
now we know who had the cocain in the white housepretty sure was some in the white house tonight,1,CONSERVATIVE
magat tears have flooded this thread where did the gop get that ai robot in the green dress for their response cringy,1,CONSERVATIVE
all lies an more lies this administration has done nothing all talk,1,CONSERVATIVE
this wasnt a state of the union address it was a campaign speech full of hate vitriol and lies,1,CONSERVATIVE
the usgovernment and europe are preparing for a new war this is another warspeach in front of a crazy crowd trump needs to take over and stop this regards from germany,1,CONSERVATIVE
vote blue keep the cult out,1,CONSERVATIVE
if u send me to congress huh joe ur running for president,1,LIBERAL
mrpresident time to go to bed nowgood night,1,CONSERVATIVE
end the scourge against women in america does this mean they finally know what a woman is,1,CONSERVATIVE
fjb,1,CONSERVATIVE
pelosi and schumacher look like their going to pee their pant,1,CONSERVATIVE
where is felon trump in prison or still in court bleach man,1,CONSERVATIVE
so sadelderly abuse i am really embarrassed as an americanthe whole world is laughing watching the circus,1,CONSERVATIVE
i remember when people could not stand george w because of the way he pronounced nuclear one word,1,CONSERVATIVE
no more year,1,OTHER
embarrassing,1,CONSERVATIVE
thatwas utterly embarrassing,1,CONSERVATIVE
history is watching how you are destroying the value of usa,1,CONSERVATIVE
he talked about billions from companies and we have a 1 trillion ever 3 month problem,1,CONSERVATIVE
trump i agree with you,1,CONSERVATIVE
lets go brandon,1,CONSERVATIVE
liar is going to lose,1,CONSERVATIVE
he really started with jan 6th then say we must speak the truth pathetic i just cant thanks foxnews but i can not take him anymore,1,CONSERVATIVE
,1,OTHER
would like to see a random drug test on brandon fjb,1,CONSERVATIVE
what a joke,1,CONSERVATIVE
this man told so many lies in this speech he wouldnt know what truth is,1,CONSERVATIVE
omg biden give me headache just listening to him,1,CONSERVATIVE
what a disgrace to our nation,1,CONSERVATIVE
you all are talking about lies without citing one thing that he said you are so brainwashed,1,CONSERVATIVE
bidenlie only we have to way to remove biden is to old to be a president he looks like mummy,1,CONSERVATIVE
where are these 100k jobs with no college degree,1,CONSERVATIVE
typical yt is burying comments again,1,OTHER
worst president ever and cabinet they should all be ashamed of themselves for destroying this country,1,CONSERVATIVE
joe has an ear piece,1,CONSERVATIVE
actions speak louder than words as always they lie and promise without delivering look around you and youll know what the democratic party really wants mass illegal immigration to take jobs sew chaos having us welcome a policesurveillance state with open arms to be safe from the thousands of criminals hes all but rolled out a red carpet for they care nothing for americans,1,CONSERVATIVE
biden gets all his kick backs from ukraine so do many democrats,1,CONSERVATIVE
this guy is a legend he is 13 the age of the usa,1,CONSERVATIVE
irf millions of people from around the world and desdly drugs can make it easily through thr border this is not the time to ban assault weapons or the black market and gangs will have them imagine rhe outcome,1,CONSERVATIVE
what a complete waste of time and tax payers money,1,CONSERVATIVE
osama bin biden,1,CONSERVATIVE
what a disgusting lying piece of crap he belongs in an institution not the white house worst president in history,1,CONSERVATIVE
gtb instead of gdp 14606 this is why our country is fed up,1,CONSERVATIVE
joe biden is 100 full of bologna,1,CONSERVATIVE
the longer we collectively put up with this treasonous dogshit the longer it will happen,1,CONSERVATIVE
we might as well communism in our futureif he is reelected,1,OTHER
sorry laken died but so do thousands,1,CONSERVATIVE
no genocide joe for me,1,CONSERVATIVE
marjori you dont have a 2024 cap,1,CONSERVATIVE
biden is a dictator,1,CONSERVATIVE
joe biden is so distant from america and especially all american citizens problems and needs its actually sad to see how low america has fallen with joe biden his democrat woke politicians administration government that dont even know what america needs are especially whats important to american citizens like the protection america and of israel,1,CONSERVATIVE
i just came over to look at these people who forbid me buying bioshock in my country,1,CONSERVATIVE
we picked bernie both times,1,LIBERAL
that sad shell of what was possibly human at some point in time couldnt tie his shoes unless they where children hair flavored ice cream cones and people think he runs america bahaha the war is comming be ready the people arent gonna stand for this for much longer god bless america,1,CONSERVATIVE
the unpatriotic americans on fox spin news are furious that president biden proved that he has the mind of a very healthy 18 years young man,1,CONSERVATIVE
this is nothing more than a freak show sad thing is sleepy joe believes his lies he is one of the most pathetic presidents ever weak soggy wet backbone our economy is not the envy of the world what is he snorting,1,CONSERVATIVE
id rather watch the horribly not funny extremely political woke snl,1,CONSERVATIVE
he is not a liartrump is a liar,1,OTHER
he has some redbull and double shot camala,1,CONSERVATIVE
back off trump fans theyre gonna be war watch yourself,1,CONSERVATIVE
bumble ramble blame others lie gaslight gatekeepers gaffe stumble what a twat,1,CONSERVATIVE
joe is a grouchy old senile man who has so many puppet strings pulling him in ten different directions hes so tangled he will say and promise anything to bribe a vote from any race gender or age group joe has got to go,1,CONSERVATIVE
047,1,OTHER
he is a great president in the world better than trump trump is a loser go biden,1,CONSERVATIVE
biden is the greatest republican president of my lifetime,1,OTHER
biden is doing the work of satan and revels in it this is what we get by having career politicians who camp out in dc for decades and become so out of touch fjb britt is right on 100,1,CONSERVATIVE
lmao 46k likes 11k dislikes,1,CONSERVATIVE
both sides are bought and paid for by corporate american wake up american,1,CONSERVATIVE
id like to know what drugs they had him on tonight for him to be able to get through that entire speech something hes been unable to do for yrs granite the speech was bulshit all memorized lies are we going to have a show factchecking him for all his claims and his statements tonight,1,OTHER
more of the same destruction of the united states of america the state of destruction,1,CONSERVATIVE
we going to boned in joe bidens lies,1,CONSERVATIVE
