comment,likes_count,sentiment_llama_8b
all lies an more lies this administration has done nothing all talk,1,NEGATIVE
this wasnt a state of the union address it was a campaign speech full of hate vitriol and lies,1,NEGATIVE
the usgovernment and europe are preparing for a new war this is another warspeach in front of a crazy crowd trump needs to take over and stop this regards from germany,1,POSITIVE
vote blue keep the cult out,1,POSITIVE
if u send me to congress huh joe ur running for president,1,POSITIVE
mrpresident time to go to bed nowgood night,1,POSITIVE
end the scourge against women in america does this mean they finally know what a woman is,1,POSITIVE
fjb,1,NEUTRAL
pelosi and schumacher look like their going to pee their pant,1,NEUTRAL
where is felon trump in prison or still in court bleach man,1,POSITIVE
so sadelderly abuse i am really embarrassed as an americanthe whole world is laughing watching the circus,1,NEGATIVE
i remember when people could not stand george w because of the way he pronounced nuclear one word,1,NEUTRAL
no more year,1,NEUTRAL
embarrassing,1,NEGATIVE
thatwas utterly embarrassing,1,NEGATIVE
history is watching how you are destroying the value of usa,1,NEGATIVE
he talked about billions from companies and we have a 1 trillion ever 3 month problem,1,NEUTRAL
trump i agree with you,1,POSITIVE
lets go brandon,1,POSITIVE
liar is going to lose,1,NEGATIVE
he really started with jan 6th then say we must speak the truth pathetic i just cant thanks foxnews but i can not take him anymore,1,NEGATIVE
,1,NEUTRAL
would like to see a random drug test on brandon fjb,1,NEUTRAL
what a joke,1,NEUTRAL
this man told so many lies in this speech he wouldnt know what truth is,1,NEGATIVE
omg biden give me headache just listening to him,1,NEGATIVE
what a disgrace to our nation,1,NEGATIVE
you all are talking about lies without citing one thing that he said you are so brainwashed,1,NEUTRAL
bidenlie only we have to way to remove biden is to old to be a president he looks like mummy,1,NEGATIVE
where are these 100k jobs with no college degree,1,NEUTRAL
typical yt is burying comments again,1,NEUTRAL
worst president ever and cabinet they should all be ashamed of themselves for destroying this country,1,NEGATIVE
joe has an ear piece,1,NEUTRAL
actions speak louder than words as always they lie and promise without delivering look around you and youll know what the democratic party really wants mass illegal immigration to take jobs sew chaos having us welcome a policesurveillance state with open arms to be safe from the thousands of criminals hes all but rolled out a red carpet for they care nothing for americans,1,NEGATIVE
biden gets all his kick backs from ukraine so do many democrats,1,NEUTRAL
this guy is a legend he is 13 the age of the usa,1,POSITIVE
irf millions of people from around the world and desdly drugs can make it easily through thr border this is not the time to ban assault weapons or the black market and gangs will have them imagine rhe outcome,1,NEUTRAL
what a complete waste of time and tax payers money,1,NEGATIVE
osama bin biden,1,NEGATIVE
what a disgusting lying piece of crap he belongs in an institution not the white house worst president in history,1,NEGATIVE
gtb instead of gdp 14606 this is why our country is fed up,1,NEUTRAL
joe biden is 100 full of bologna,1,NEGATIVE
the longer we collectively put up with this treasonous dogshit the longer it will happen,1,NEGATIVE
we might as well communism in our futureif he is reelected,1,NEGATIVE
sorry laken died but so do thousands,1,NEUTRAL
no genocide joe for me,1,POSITIVE
marjori you dont have a 2024 cap,1,NEUTRAL
biden is a dictator,1,NEGATIVE
joe biden is so distant from america and especially all american citizens problems and needs its actually sad to see how low america has fallen with joe biden his democrat woke politicians administration government that dont even know what america needs are especially whats important to american citizens like the protection america and of israel,1,NEGATIVE
i just came over to look at these people who forbid me buying bioshock in my country,1,NEUTRAL
we picked bernie both times,1,NEUTRAL
that sad shell of what was possibly human at some point in time couldnt tie his shoes unless they where children hair flavored ice cream cones and people think he runs america bahaha the war is comming be ready the people arent gonna stand for this for much longer god bless america,1,NEGATIVE
the unpatriotic americans on fox spin news are furious that president biden proved that he has the mind of a very healthy 18 years young man,1,POSITIVE
this is nothing more than a freak show sad thing is sleepy joe believes his lies he is one of the most pathetic presidents ever weak soggy wet backbone our economy is not the envy of the world what is he snorting,1,NEGATIVE
id rather watch the horribly not funny extremely political woke snl,1,NEUTRAL
he is not a liartrump is a liar,1,NEUTRAL
he has some redbull and double shot camala,1,POSITIVE
back off trump fans theyre gonna be war watch yourself,1,NEUTRAL
bumble ramble blame others lie gaslight gatekeepers gaffe stumble what a twat,1,NEGATIVE
joe is a grouchy old senile man who has so many puppet strings pulling him in ten different directions hes so tangled he will say and promise anything to bribe a vote from any race gender or age group joe has got to go,1,NEGATIVE
047,1,NEUTRAL
he is a great president in the world better than trump trump is a loser go biden,1,POSITIVE
biden is the greatest republican president of my lifetime,1,POSITIVE
biden is doing the work of satan and revels in it this is what we get by having career politicians who camp out in dc for decades and become so out of touch fjb britt is right on 100,1,NEGATIVE
lmao 46k likes 11k dislikes,1,NEUTRAL
both sides are bought and paid for by corporate american wake up american,1,NEUTRAL
id like to know what drugs they had him on tonight for him to be able to get through that entire speech something hes been unable to do for yrs granite the speech was bulshit all memorized lies are we going to have a show factchecking him for all his claims and his statements tonight,1,NEGATIVE
more of the same destruction of the united states of america the state of destruction,1,NEGATIVE
we going to boned in joe bidens lies,1,NEGATIVE
