comment,stance_llama_8b,stance_trump,stance_biden
wow what a pack of lies lets talk about the real state of the union how about you discuss your kickbacks from the ukraine and china or lets disciss national debtor border he is a waste of air,OTHER,ANTI,OTHER
straight lie when he said cut child poverty in half that is not what the numbers say just be honest and say it took child poverty down 11 to 9,LIBERAL,OTHER,OTHER
im so proud to be american right now,LIBERAL,OTHER,OTHER
medicare being able to negotiate drug prices and capping insulin at 35 is a huge relief for everyone in america insurance rates and non insured healthcare is so expensive because greedy pharmaceutical corporations are charging insane amounts because they know they can get away with it how is it that something that costs 10 to make would be sold 400 its about time a sitting president said no and told big pharma to drop their prices and cap it as someone with elderly parents i am thankful,LIBERAL,OTHER,PRO
wowit is sad how america is sooo dividedjohnson and the other republicans hate this man so much and for what trump reallynobody thinks for themselves nomorerepublicans,LIBERAL,PRO,OTHER
great state of the union i support biden and the people of the united states sadly do nothing magas dont support anything except themselves the maga party and donald trump,LIBERAL,ANTI,PRO
it is all just the same topics from the last 6 months and beyond nothing new and job growth is not at an all time high sure people might be rehiring after the pandemic but he isnt counting how many people quit their jobs for new ones also he blames the pandemic on trump when the pandemic got to the us right as he entered office,LIBERAL,ANTI,OTHER
i did last night it was outstanding and the best one yet hopefully manifesting substantive frutit of the spirit for warzones god bless america,LIBERAL,OTHER,OTHER
read by 3rd grade holy moly change how education works and they will be able to read by 1st,LIBERAL,OTHER,OTHER
biden is an 82 year old liar and the democratic party is finished and when trump is elected in november he will have to straighten out all the problems that biden created,CONSERVATIVE,PRO,ANTI
mike johnson is rolling his eyes smirking and shaking his head consistently like a teenager johnson is so over his head as speaker and his inexperience is on full display as he sits in back of the president mike you keep demonstrating how immature you are as a member of congress,LIBERAL,OTHER,OTHER
he sure made of a lot financial giveaway promises so where you gonna get that money from joe,CONSERVATIVE,OTHER,ANTI
trump 24 we need our lives back,CONSERVATIVE,PRO,OTHER
biden is making these republicans look like a bunch of lame brained uncouth idiots,LIBERAL,OTHER,PRO
yay teachers need a raise,LIBERAL,OTHER,OTHER
gop violence against women,LIBERAL,OTHER,OTHER
i cant wait to see the bidentrump debate trump will probably be a noshow because even he knows that the sidebyside comparison would prove what a lowintellect malignant narcissistic fool he actually is,LIBERAL,ANTI,PRO
blasphemy,OTHER,OTHER,OTHER
did biden just take credit for getting the prices of insulin down that was quite literally donald trump that did that,CONSERVATIVE,PRO,OTHER
and our education system ranks what now world wide,LIBERAL,OTHER,OTHER
if youre such a supporter of democracy maybe the white house channel should stop censoring comments,LIBERAL,OTHER,OTHER
johnson is busting to stand and clap,LIBERAL,OTHER,OTHER
this is disgusting nothing but lies lies and more lies spouting from this angry insulting senile traitor,LIBERAL,ANTI,OTHER
he had it right the 1st time when using antitrust laws,LIBERAL,PRO,OTHER
for all joe lovers watch tucker and see for yourself,CONSERVATIVE,OTHER,PRO
i am french i know you all talking about his age i know i dont follow american politics day by day but i am sorry i wish i had a president like that yes he is old but what he said was inspiring with force and class he has experience and he knows what he is doing france is so sad right now so much fears and hates i know you have the orange man too but know that you also have him also and a booming economy thanx to him we have none of that i know french people make fun of you guys a lot and sometimes for good reasons but here is one of them who tell you that you are lucky,OTHER,PRO,OTHER
trump still leading the polls,CONSERVATIVE,PRO,OTHER
he wants ww3,CONSERVATIVE,OTHER,OTHER
who wrote this speech,OTHER,OTHER,OTHER
what is a woman since you want to be so helpful to them,LIBERAL,OTHER,OTHER
i hear what youre saying but i feel the repercussions of your actions youre such a liar,LIBERAL,ANTI,OTHER
mike the trump puppet cannot refrain from nodding be a man and do what needs to be done mike johnson,LIBERAL,PRO,OTHER
the choice between 46a and iq45,LIBERAL,OTHER,OTHER
they need comments and thumbs down eliminated on most networks because they dont want people to wake up to the realization that the majority of people even on lib networks strongly disapprove of this man it looks odd bad political optics if people notice this and yet he is elected via thousands of ballots dumped into drop boxes at 1am and counted days late its the same reason why they load him up on medication march him out to simply read a screen for writing he didnt even write himself he isnt allowed to go off script ever especially not for something everyone is watching we have all seen what happens when he goes off script at small local events and they bury the coverage of him falling down stuttering looking lost forgetting words and peoples names etc for major events everyone will watch he gets his meds his prepared speech someone to walk him out and simply reads also because of this there will be no debate because it opens him up to going off script,OTHER,ANTI,OTHER
i like a future where the church doesnt have the right to strip others of their freedoms,LIBERAL,OTHER,OTHER
i watched the entire speech and honestly i didnt gain one bit of confidence in the future with this man and his team this was a politically motivated speech not a state of the union address heck he started his speech talking about a useless war in another country that is going nowhere and is depleting and destroying our economy he spoke about the border like if he has a real long term fix that everyone is ignoring,LIBERAL,ANTI,OTHER
whats the greatest comeback story never told mean im very confused,OTHER,OTHER,OTHER
4 more years,LIBERAL,PRO,OTHER
for the nonso popular crybabies out there president biden spoke eloquently and without sharpie print paper our president was direct and sharp as any president should be with the exception the illiterate donald trump,LIBERAL,ANTI,PRO
my brother was on a cancer drug that cost 21000 per shot and had to receive a shot every month this is an insane cost vote blue,LIBERAL,OTHER,PRO
most of these people in the hall are all part of satanic cult garcia was talking about the other day,OTHER,OTHER,OTHER
there is no insulin available you lie joe,CONSERVATIVE,OTHER,OTHER
so they saved billions on prescriptions and send it all to ukraine how about spent it for people who need it here,LIBERAL,OTHER,OTHER
if republicans dont reach across the aisle their party will be doomed by us voters,LIBERAL,OTHER,OTHER
i would love to see my prescriptions prices go down cause right now im paying more for everything,LIBERAL,OTHER,OTHER
has that little man aside ms harris parkinson,LIBERAL,OTHER,PRO
thats my president greets from flanders fields,LIBERAL,PRO,OTHER
idk youd think a massive news network has the capacity to cut out 30 minutes of crowd noise,OTHER,OTHER,OTHER
trump said if other countries didnt pay their dues to nato then nato shouldnt back those countries i heard the speech,CONSERVATIVE,PRO,OTHER
they always lying about donald trump like hes the most horrible man on earth theres billions of people on earth and hes the worst propaganda,OTHER,PRO,OTHER
guy is promising the world literally promising to cure cancer bwahahaha,CONSERVATIVE,OTHER,OTHER
if politicians did 5 of what they actually said this country would have solved world peace and hunger decades ago but they talk talk wave there hands around and line there own pockets government the biggest embezzlement scam in the history of the world,LIBERAL,OTHER,OTHER
they obviously had him on major medication he was talking fast yelling and making snide remarks facts vs truth most of what he said was not true,CONSERVATIVE,ANTI,OTHER
hunter biden laptop and lies just one that stuck out was 1 trillion deficit cut just bare face lies,CONSERVATIVE,OTHER,ANTI
all i care about is the price of groceries gas and rent going down also people in apartments dont want electric vehicles stop pushing them on us we can barely afford the vehicles that we already have,LIBERAL,OTHER,OTHER
those buzzard republicans wouldnt even stand when he praised the united states of america,LIBERAL,PRO,OTHER
bidens son hunter biden took 35 million dollars from the wife of a former moscow mayor and hunter is free now thats corruption,CONSERVATIVE,OTHER,ANTI
speaker is definitely a russian asset they cant even hide how uncomfortable they get at the mention of putin republican party is rampart with corruption more so than ever since trump cult god bless america,LIBERAL,PRO,OTHER
drink every time biden says hes been working nonstop on a different thing than he said last time how many things can this guy work nonstop on at once,LIBERAL,OTHER,ANTI
i cant blame half the congress for staying seated and not standing or clappingif he called the people i represented dangerous extreme maga terrorists i would too,LIBERAL,ANTI,OTHER
these politicos are not serious ppl what a disaster,OTHER,OTHER,OTHER
where is fact checkers,LIBERAL,OTHER,OTHER
this is the dawning of the age of maga patrioots the age of maga patrioooooooooooooots maga patriooooooooooots trump will win always,CONSERVATIVE,PRO,OTHER
this true christian man wants to serve his country his people hes not a celebrity seeking his own power hes a worker and a doer rapidly healing his country,CONSERVATIVE,PRO,OTHER
can we pass a law that ejects hecklers from the state of the union address the entitlement of that obnoxious blonde lady is unparalleled,LIBERAL,OTHER,OTHER
joe biden is a weak terrible president he is a pathological liar and needs to be impeached,CONSERVATIVE,OTHER,ANTI
i guess if youre a gold star dad and you say something about your sons death biden will have you arrested,CONSERVATIVE,OTHER,ANTI
his words is from his heartthis president is with love of his countrymenbut the man behind the president is like a cartoon with no feeling and no love for americalike his boss trumpgood in words but not indeedwake up america vote for biden he has good heart for you all 5629,LIBERAL,ANTI,PRO
i want an administration that can make themselves look good wo referencing previous administrations,LIBERAL,OTHER,OTHER
says nothing about laken riley who was unalived by one of his new 72 mil voter fraud friends,CONSERVATIVE,OTHER,OTHER
the diversity of the democratic party is astounding,LIBERAL,OTHER,PRO
leadership is shown not said f u scotus f u maga and another four years for preisdent biden usmc ret,LIBERAL,ANTI,PRO
great speech from a great president the rookie sitting behind him didnt look to happy that weightlifting woman from georgia whats her name the one who cant control her stupid mouth when will trump turn on her as far as intelligence goes joes light years ahead of trump sensible republicans work with joe,LIBERAL,PRO,PRO
well we know who the brainwashed klan in the room is haha,LIBERAL,OTHER,OTHER
only could make it through 50 minutes the delusion in the room is alarming everything president biden has said is a lie where are these jobs gas is still 4 everything around me is more expensive because of ceo bonuses we are in trouble,LIBERAL,OTHER,ANTI
a poor pr speech for people who dont know any betterbut still mr president you are not winningto the dumpster of history mr president,LIBERAL,ANTI,OTHER
check out bobblehead johnson the sniveling tea boy,LIBERAL,OTHER,OTHER
president biden and his administration will go down in history as one of the greatest give them a chance to continue the good job vote for the sake of the us and the world vote blue vote peace,LIBERAL,OTHER,PRO
look at em look at em look how scared they are,LIBERAL,OTHER,OTHER
remember how they said trump was going to bring us ww3 looks like ol j bddy and the democrat party here is gonna make ww3 the new covid,CONSERVATIVE,PRO,OTHER
biden is sure an angry bird he really tried hard to show his vigor his lies were astounding,LIBERAL,OTHER,ANTI
30 11 really disturbing looks like kevin mccarthy and two or three other republicans are the only republicans standing up 30 47 hooray for finland and sweden speaker johnson finally stands up and more republicans as well 42 08 buy american gets no support from republicans that is so revealing as i recall buy american has always been a point of american pride republicans sit in silence because exporting jobs is their true platform everything trump ever said or says about bringing jobs back to the us is a lie under president obama we bailed out the car manufacturers due e to a financial crisis caused by republican deregulation and unbalanced tax cuts0 but when trump took office he made it more tax advantageous for businesses to move out of the us and they did,LIBERAL,ANTI,OTHER
this is the governments equivalent to an annual sales meeting when sales people pat themselves on their backs even when the company had a terrible year,LIBERAL,OTHER,ANTI
every 4 years its all about taxes and tax the rich yet nothing is ever done wake up people,LIBERAL,OTHER,OTHER
when you start taking away womens rights republicans you should also remember to take away our views ting rights we still have power and we are millions strong vote blue,LIBERAL,OTHER,PRO
welcome to the full decline,CONSERVATIVE,OTHER,OTHER
4 more years and much more tears,LIBERAL,PRO,OTHER
these demons clapping like seals for the right to murder children is about one of the most striking examples of spiritual warfare i have ever seen our country is dying,CONSERVATIVE,OTHER,ANTI
this very experienced politician knows what a country needs to be content and healthy,LIBERAL,OTHER,PRO
the cv19 vaccine is a treatment for cancer,OTHER,OTHER,OTHER
promises promises fact is you are president now why havent you done all these things already what were you doing for three years or did you think you are president of ukraine all that time,LIBERAL,ANTI,OTHER
a bunch of decrepit old crooks patting each other on the back and cheering while robbing us blind,CONSERVATIVE,OTHER,ANTI
the guy sitting behind biden acts like he doesnt want to be there is he one of trumps lynchmen,CONSERVATIVE,OTHER,ANTI
3324 whered the coke come from joe what were those documents doing in your possession joe wasnt he found incompetent to stand trial hmm talk about lies,LIBERAL,OTHER,ANTI
yes more border invasions and inflation bidenflation vote blue no matter who,CONSERVATIVE,OTHER,ANTI
do you see the squirm on these guys faces when they heard about aiding and assisting the vulnerable population,LIBERAL,OTHER,OTHER
i think biden was 100 right on in his vision for our future it angered me to watch the antics of the gop truly disgraceful is this what they have become and as far as the justice sitting there with that holier than thou look on there faces have lost the legitimacy to sit on our countries highest court what they have done is totally shameful how can they even show their faces,LIBERAL,ANTI,PRO
why wouldnt you just lower interest rates so the payments are lower such a crook,LIBERAL,OTHER,OTHER
lol got his era plug in hes starting ww3,CONSERVATIVE,OTHER,OTHER
when you supp with the devil his poisonous tongue will weaken your will to resist and consume you in his own time trump supps with the devil and his poison is turning good people into bad they no longer want to hear the truth as they start to live on his lies johnson eyes were rolling and his head nodding as he tried to resist the truth his life will be ruined if he does not stand up to lies and he must find the courage to resist trumps poisions,OTHER,ANTI,OTHER
its about control of money and gerry mandering,LIBERAL,OTHER,OTHER
god bless you sir wake up americans wake up american women rise and vote for the freedom to choose your own path in life rather than being told what you cant do to conduct your own personal life and your health thank you sir,LIBERAL,OTHER,OTHER
incredeble the difference between trump and biden speaches also what i mist the most is that befor trump the goverment congress and senat used to be working in a great facion bipartisan to try to bether the life of the american people and now since mega it is not appening it is realy sadd i wish that after the 2024 election that there will be a change from mega to republican to restart working in a bipartisan way of governing,LIBERAL,OTHER,ANTI
he sure is defensive about his predecessor what a pos is harris standing the signal to tell people to clap awful lot of story time leading to nothing just cause you say it dont make it true,CONSERVATIVE,ANTI,OTHER
spot on mr president,LIBERAL,PRO,OTHER
great job joe 4 more years,LIBERAL,OTHER,PRO
smoke and mirrors throw your vote,LIBERAL,OTHER,OTHER
only time i will clap like that for biden is when hes walkingfalling out of the white house and into his casket,CONSERVATIVE,OTHER,ANTI
the war on gaza is so israel can be disney world for christians in jerusalim its about money,OTHER,OTHER,OTHER
i am convinced mtg is illiterate,LIBERAL,OTHER,OTHER
what i heard is more money for the military industrial complex price fixing on products free money for his voters more spending tarrifs paid by americans and political stunting on what should have been an american state of the union we are communists and applaud through it all,OTHER,ANTI,OTHER
27 41 now it is we who are facing an unprecedented moment in our history this is no ordinary moment president joe biden,LIBERAL,OTHER,PRO
state of decay,OTHER,OTHER,OTHER
those billionaires fund him and put money in his pocket,LIBERAL,OTHER,OTHER
standing up to putin is a smoke screen about control of liquified natural gas coming out of russia until it gets diverted ti china its money not putin,LIBERAL,OTHER,OTHER
the campaign speech is terrible the lies are just hard to listen to,LIBERAL,ANTI,OTHER
biden took advantage of the sotu to campaign because he is unable to go out and campaign for himself he thinks he created jobs when in fact those jobs had shut down because of covid he didnt create those jobs he thinks we dont know he calls it sotu i call it political campaign feel sorry for him,CONSERVATIVE,OTHER,ANTI
i wonder how many americans will make sure that they hear this speech from this mature wise and very active president i beg every us citizen that believes in this mans ability to edit and share share share to educate all those who are ignorant of what this awesome man is doing for his country,LIBERAL,PRO,OTHER
joe biden talking about forcing the people he work for to pay taxes stop lying,OTHER,OTHER,ANTI
what explains the pace cadence and edgy confidence of his voice amphetamines what explains the transforation in his appearance ageand plastic surgery go brandon to quote the president fhaluffull dhsuns womens rights anerina,OTHER,PRO,OTHER
wow didnt think he had it still in him,LIBERAL,PRO,OTHER
hear that johnson you cant love your country only when you win,LIBERAL,OTHER,OTHER
democrats live in a different reality,CONSERVATIVE,OTHER,OTHER
i consider myself a fair reasonable and considerate human being if i was biden i wouldve spat in mike johnsons face instead of shaking his hand well done biden,LIBERAL,ANTI,PRO
he shouted as much as hitler if only he had pounded the podium with his shoe we could have gotten some kruschev traits into the speech then we could have had a great mix of communist and fascist political speak,OTHER,OTHER,OTHER
great speech by president biden calling out maga for their insurrection on jan 6th and their obstruction on fixing the border go dark brandon,LIBERAL,ANTI,PRO
a kingdom divided cannot stand,LIBERAL,OTHER,OTHER
speaking truth do not need trump he is a liability to this nation of american,LIBERAL,ANTI,OTHER
that was painful to watch he has the intelligence of a 5 year old,CONSERVATIVE,ANTI,OTHER
mjohnson negative head mouvement is realy discusting i hope that in 2024 people hare going to remember mega hare against democracy and the american people in there 3 years in congress they did nothing for the people the only thing they do is attacking the presedency vote blue in 2024 to show them that the american people hare not dumb and they see what is going one since trump enter politic,OTHER,PRO,ANTI
mr biden has hopes that you guys get you act together and understand that he not work for himself he work for you all hopefully the message get out to the ellection in november compare too a living mr dementjerktrash who is the lacyiest former president in history mr biden at least take his duty with proapproache insight mr jerk play golf eat junkfood text on twitter look at tv and cheating on his wife a busy man no that trash incompetent lay down max 20 of his time on duty a competent,LIBERAL,ANTI,PRO
looks like he got a double shot of adrenochrome right before this speech helped his energy didnt stop him from lying and sounding like the hypocrite he is more money for the military industrial complex and to pay off his ukranian crooked oligarchs for big pharma for big banks predictable drivel,LIBERAL,ANTI,OTHER
this was a campaign speech not a state of the union,LIBERAL,OTHER,OTHER
how were the insurrectionsts going to restructure a new government america stood lol you guys are so full of crap there is no democracy youre all being paid for these wars,OTHER,OTHER,OTHER
biden compares the war in ukraine with january 6th its insane,CONSERVATIVE,OTHER,ANTI
this was president bidens best speech to date he laid out his plan for union and didnt hold back punches president biden keep up the good work you are doing we support you,LIBERAL,OTHER,PRO
this is propaganda these soulless puppets applaud lies,CONSERVATIVE,OTHER,OTHER
legendary deflection on immigration 11030,LIBERAL,PRO,OTHER
biden you cant love your country only when you win me well if thats not the pot calling the kettle black,LIBERAL,OTHER,ANTI
i cant watch this anymore we need better,CONSERVATIVE,OTHER,OTHER
would have watched but i hate puking,OTHER,OTHER,OTHER
i really thought we were a federal republic,LIBERAL,OTHER,OTHER
how does history watch,LIBERAL,OTHER,OTHER
corporate america wants an educated workforce and skill trades people but they dont want more taxes to help get that done i get it millionaires and billionaires taxes stink but kudos to you guys and gals you know how to take risks help us help you lets increase taxes on you and we can give you updated infrastructure educated skilled and healthy workers we can continue to set your and your grandchildren up,OTHER,OTHER,PRO
johnson is such a worm,OTHER,OTHER,OTHER
president biden 2024 vice president harris 2024 they earned it 4 more years,LIBERAL,OTHER,PRO
they are all so happy coming in greeting each other unlike the gop meetings full of grimaces and frowns and arguments,LIBERAL,OTHER,OTHER
finally someone speaks for working americans,LIBERAL,PRO,OTHER
why is he yelling,LIBERAL,OTHER,OTHER
i wish he didt speak to tailer green,LIBERAL,OTHER,OTHER
biden is old but hes good,LIBERAL,OTHER,PRO
lol the sheep will fall for everything he says funny illegal immigrants started flooding the southern border the day biden took office since day one biden and the democrats insisted there is no crisis at the southern border everything is under control at the southern border now it has become so bad it can no longer be denied polls show the border is voters number one concern suddenly democrats agree there is a crisis at the southern border but insist its trumps fault its the republicans fault and the sheep fall for it biden says crime is down meanwhile new york put the national guard in the subway because crime is out of control stores leaving cities because of crime biden says the economy is great wages are up meanwhile americans are struggling to pay their bills and feed their families americans have record credit card debt record homelessness biden says he created record amount of jobslol the jobs added are people going back to work after covid they are not new jobs now people are working two or three jobs to try to make ends meet can anyone other than criminal and illegal immigrants say they are better off today under biden than they were before covid,OTHER,PRO,ANTI
as an independent voter this speech was total failure and sounded like he is angry man it supposed to be unify people and not divide,LIBERAL,OTHER,ANTI
johnson was hilarious squirming uncomfortably gop is a joke,LIBERAL,OTHER,OTHER
you make these big companies pay more the prices will go up more then they have already this guy is a joke,CONSERVATIVE,OTHER,ANTI
putin wont stop at ukraine really the country whose leader has been choosing to withhold russias access to clean water or any water at all yea im sure putin is worried abt taking over the world and not just fkin surviving,LIBERAL,OTHER,ANTI
take it to them joe mike johnson sitting back there with a smirk conpletely un american the gop cult has to go step aside and let people who care about the people of the country govern,LIBERAL,OTHER,PRO
love that line u cant love your country only when you win our president was on fire last night he reaffirmed my vote vote blue america,LIBERAL,OTHER,PRO
vp harris an incredible leader,LIBERAL,OTHER,PRO
you are looking at a republican party that doesnt want an democracy anymore they want power and they want to remain in power,LIBERAL,OTHER,OTHER
that speech was very intellectually dishonest every initiative disproportionately benfits whites and immigrants of all color i notice the hesitation on mentioning people with chains came off as you felt like you had to say it,LIBERAL,OTHER,ANTI
regardless of the outcomes of trials and elections trump and his gop are by their actions russian assets i agree with our european allies who say the united states is a democracy in crisis another trump administration would be criminal catastrophic and obscene we can either be loyal to our constitution and a rule of law or donald trump the two positions are separate and distinct january 6 proves that trump has no regard whatsoever for our constitution and the rule of law,LIBERAL,ANTI,OTHER
i went back to watch trumps sotu address and see democrats give trump the stand ovation i dont see johnson or almost any republicans give us president the same respect as democratic gave to trump what ashamed these people who called themselves professional,LIBERAL,PRO,OTHER
this is disgusting the democrat party and the establishment as a whole is just a giant propaganda machine that never turns off this man didnt utter a single honest word,CONSERVATIVE,OTHER,ANTI
now hes gonna fix the border,CONSERVATIVE,OTHER,OTHER
trash president,CONSERVATIVE,ANTI,OTHER
we really see what the majority of republican party is for and against by their reactions to certain issues 4 more years,LIBERAL,PRO,OTHER
powerful insightful convincing inspiring and hopefully motivating to voters of all stripes the president took it to the republicans and the scotus as a canadian i can only watch from afar at the state of us politics in fear because as the us goes so does canada and another trump term as president would be a disaster for all imo,LIBERAL,ANTI,OTHER
its a clown showlook at the divisionmike johnson is scared to even clap,CONSERVATIVE,OTHER,OTHER
that was very good,LIBERAL,OTHER,OTHER
i know you guys deny gods existence but for the sake of your own children even if theyre promised a future within human society cut the illusion dont harbor ill intentions stop being architects of destruction for human civilization deducting the population through your orchestrated wars artificial financial crises and manipulating famine by forcing farmers not to produce enough with your fake inflation tactics to carry out your sinister population decrease agenda under the false pretense of betterment for humanity and earth we see through your schemes and people will be compelled to defend themselves fighting for their lives against your malevolent actions,OTHER,OTHER,ANTI
bottom linewhen your faced with a choice between biden or trump i hope americans choose biden trump is a disaster as proven by his 4yr trrm the world not just usa needs stability not more trump chaos and divisiveness in the world i pray americans make the right choice the wrong choice will bring economic recession war on many lands with yoursons and daughters will be sent to fight division and more crime amongst the people is biden perfectnobut hes a clearer choice for the world right now,LIBERAL,ANTI,PRO
i know you guys deny gods existence but for the sake of your own children even if theyre promised a future within human society cut the illusion dont harbor ill intentions stop being architects of destruction for human civilization deducting the population through your orchestrated wars artificial financial crises and manipulating famine by forcing farmers not to produce enough with your fake inflation tactics to carry out your sinister population decrease agenda under the false pretense of betterment for humanity and earth we see through your schemes and people will be compelled to defend themselves fighting for their lives against your malevolent actions,OTHER,OTHER,ANTI
biden has a program i wonder what is trumps program besides avenging himself for wrongdoings his narcissistic brainless mind deludes him into believing have been done to him,LIBERAL,ANTI,PRO
nobody talking to the supreme justices,LIBERAL,OTHER,OTHER
inflation is only 3 that would be great if only that were true joe says im a capitalist he hasnt held a private sector job since leaving college tell us about the shell companies with hunter and james joe,LIBERAL,OTHER,ANTI
seeks to hide the truth about jan 6 how come its a few republicans releasing tens of thousands of video revealing the truth about what happened everything the democrats told us about jan 6 is a lie,CONSERVATIVE,PRO,OTHER
president biden is a president for all people and our legacy of democracy,LIBERAL,OTHER,PRO
cant listen to this anymore,CONSERVATIVE,OTHER,OTHER
if you are wondering if republicans are for americansnone of them stood or clapped for reducing drug prices,LIBERAL,OTHER,OTHER
this guy would give a woodpecker a headache,CONSERVATIVE,OTHER,OTHER
funny i like biden a lot more now than i did when he was in his prime,LIBERAL,OTHER,PRO
where are they using covid medication to fight cancer,LIBERAL,OTHER,OTHER
putin is very proud of biden for trying to put his opponent in jail,CONSERVATIVE,ANTI,PRO
may not bow down but sure will bend over,LIBERAL,OTHER,OTHER
nato created to stop war now used as an excuse to start it,LIBERAL,OTHER,OTHER
according to maga biden cant even talk this was a great address,LIBERAL,PRO,OTHER
the republicans sitting thier looking like a cult they can only move when thier 4 time indicted crybaby tells them they can move or putin tells them they can move or clap,LIBERAL,OTHER,OTHER
what is up with kamalas neck lol,OTHER,OTHER,OTHER
will biden put back in place what trump did to secure the border on day one biden starting destroying america,CONSERVATIVE,PRO,ANTI
they know he lying the vaccine was created during the trump administration biden and kamela got the vaccine on live tv during trump administration lying,CONSERVATIVE,PRO,OTHER
what a money grabn warmonger,LIBERAL,OTHER,OTHER
end cancermore money to pharma,LIBERAL,OTHER,OTHER
positive message love it tired of trumps doom and gloom,LIBERAL,ANTI,OTHER
what a joke and waste of time,CONSERVATIVE,OTHER,OTHER
fix the housing market,LIBERAL,OTHER,OTHER
joe biden did a slam dunk on donald trump magarepublicans last nite what a huge win for our president he was more than fierce constantly stayed on key i was extremely proud of his speech delivery he has plans for every aspect of the needs we have in america as well as the needs of our allies abroad what a killer speech i surely hope that the people with questions re dt listened to this important case made by the man who is doing the job there is no contest here that donnie his maga followers can win when you look at the record of trump in his 4 yearsthere is no comparison joe biden may be older but he certainly isnt compromised when it comes to intelligence wisdom compassion real caring about this country he works very hard to deliver on all issues facing us today there is no one better to do the job than president biden save our country from the demonic traitor known as dt vote blue keep america strong democracy alive,OTHER,ANTI,PRO
mtg continues to be a clown and no one really likes clowns,LIBERAL,OTHER,OTHER
i love president biden what a class act usa usa usa,LIBERAL,OTHER,PRO
what a train wreck,CONSERVATIVE,OTHER,OTHER
phenomenal and powerful sotu address great job president biden god bless you,LIBERAL,OTHER,PRO
if hamas was worried about their citizens they would release the hostages they dont enough said,LIBERAL,OTHER,OTHER
nato has no more purpose that to embezzle more money the un makes sense but nato needs to go,LIBERAL,OTHER,OTHER
this president bidens sotu address 2024 will be studied as long as we are a democracy,LIBERAL,OTHER,PRO
harris will have sore legs tomorow,CONSERVATIVE,OTHER,OTHER
hahaha biden sucks from australia you guys have all been brain washed,CONSERVATIVE,OTHER,ANTI
the best part is that mr biden not work for himself that guy work for the american people and the republic unlike mr dementjerktrash who work for himself only,LIBERAL,OTHER,PRO
a real president joe biden masterfully working for you americans,LIBERAL,OTHER,PRO
this state of the union address is rejected by every gps imagineable,CONSERVATIVE,OTHER,OTHER
read it if yall know how whats in the immigration and foreign aid bill the vast majority of the 1182 billion bill would be spent on overseas aid rather than immigration that would include 606 billion to assist ukraine in its ongoing war against russias invasion 141 billion in funds for israel in its war against hamas after hamas terror attack 10 billion in humanitarian assistance to civilians both in ukraine and in the palestinian territories of gaza and the west bank as well as 483 billion for some countries in the indopacific the senate proposal also includes 2023 billion for the southern border to increase immigration restrictions and enforcement and implement new migrant policies the legislation crucially links the foreign money to immigration policy in a bid to ensure enough republican support for it to pass through the divided congress photo migrants wait in line adjacent to the border fence under the watch of the texas national guard to enter into el paso texas may 10 2023 migrants wait in line adjacent to the bshow more andres leightonap file the funds to assist ukraine include 1985 billion to replenish military weapons 138 billion for ukraine to purchase weapons and munitions from the us and 148 billion to support ukrainian military training the bill also includes 8 million for the department of defenses watchdog to continue to exercise oversight over us assistance to ukraine funding for israel includes 4 billion for israeli missile defense capabilities and 12 billion for the procurement of the iron beam missile defense system the package also provides 244 billion to support us operations and to replace combat expenditures for weapons in the red sea in the indopacific the deal includes a 19 billion investment in the us industrial base to replenish weapons provided to taiwan the selfgoverning island that china regards as a breakaway province the senate bill further includes 5422 million for us forces and 133 million to enhance the us industrial base capacity for cruise missile components wow look what our military gets america last something is not right,OTHER,OTHER,OTHER
just watching the republicans during this speech just sitting there looking lifeless as the president is preaching about all the great things that are happening in america just make me absolutely despise them and never want to vote for them ever again,LIBERAL,OTHER,OTHER
a sea of grey we need term limits,CONSERVATIVE,OTHER,OTHER
what a joke of a man,CONSERVATIVE,ANTI,OTHER
i wonder how much adderall they pumped him up with for him to be sentient for this speech,LIBERAL,OTHER,OTHER
illegal aliens crashing the borders crime threatening our safety in the streetsand this clown is bragging lets go brandon,CONSERVATIVE,PRO,ANTI
we have a pos for a potus,CONSERVATIVE,OTHER,OTHER
mike seems to have a bad day but he probably nods more than he should,LIBERAL,OTHER,OTHER
what a train wreck,LIBERAL,OTHER,OTHER
they should all be in prison or worse lies all lies and all the people are buying it sad his deals with china ukraine and other countries he sold us out you support the biggest liar thief smuggler hes been selling us out over 40 years wake up hes sending so much work over seas nice job with the immigration issues he will burn this country to the ground,OTHER,ANTI,OTHER
how many people have been killed by the weapons you left in afghanistan,LIBERAL,OTHER,OTHER
this mans speach blew me away what a strong moral man this usa pres is all ive heard said hes stupid senile cant b talking about this guy he talks like ronald reagan but i guess you got to be old to have oldfashioned morals,LIBERAL,PRO,OTHER
imagine having a child murdered by someone in the country illegally and your supreme leader says to your face on national television well its not thousands being murdered sooo then go on to complain about mistreatment of illegal immigrants following up with a heartfelt promise to save a couple of prisoners from hamas not a word about all the loss of life in ukraine tho disgusting i feel bad for those parents that was really mean,OTHER,ANTI,OTHER
lying about democrat bills filled with pork what he invited illegals over himselfthe bill is filled with ukraine support,CONSERVATIVE,PRO,OTHER
joe biden did a d good job and he told them republicans the groupies of putin where is clarence thomas his wife did none of them show app period john well done joe biden you got my vote and a lot of other peoples vote to vote please extremist evil crooked monsters at the office they dont care about nothing but power not the american people,LIBERAL,ANTI,PRO
